Chto takoe obrazovatelnaya programma?;Obrazovatelnaya programma – eto komObrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.pleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
Chto vklyucheno v obrazovatelnuyu programmu?;Obrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
Kak opredelit' sushchnost' obrazovatel'noy programmy?;Obrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
Kakovy osobennosti obrazovatel'noy programmy?;Obrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
Kakova znachimost' obrazovatel'noy programmy?;Obrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
Kak vy by oharakterizovali obrazovatelnuyu programmu?;Obrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
Chto vklyucheno v obrazovatel'nuyu programmu?;Obrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
Kakie aspekty vklyucheny v obrazovatel'nye programmy?;Obrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
Kakie kharakteristiki svoystvenny obrazovatel'noy programme?;Obrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
Kakie elementy sostavlyayut obrazovatelnuyu programmu?;Obrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
Chto podrazumevaet obrazovatelnaya programma?;Obrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
Kakovy osobennosti struktury obrazovatel'noy programmy?;Obrazovatelnaya programma – eto kompleks osnovnyh harakteristik obrazovaniya (obem, soderzhanie, celi, planiruemye rezultaty), organizacionno-pedagogicheskih uslovij i form attestacii, kotoryj predstavlen v vide predmetnoj nagruzki programmy, uchebnogo plana, kalendarnogo uchebnogo grafika, rabochih programm uchebnyh predmetov (sillabusov), inyh komponentov, a takzhe ocenochnyh i metodicheskih materialov.
